DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Feb-2022,EQ,"10.45","10.65","10.40","10.15","10.65","10.65","10.64","13.10","4.40",40290034,"42,84,88,318.75",10436
16-Feb-2022,EQ,"9.80","10.15","9.80","9.70","10.15","10.15","10.13","13.10","4.40",58922897,"59,70,69,469.30",17326
15-Feb-2022,EQ,"9.60","9.80","9.40","9.85","9.75","9.70","9.53","13.10","4.40",121837023,"1,16,07,99,464.10",68278
14-Feb-2022,EQ,"9.90","10.05","9.85","10.35","9.85","9.85","9.89","13.10","4.40",65401054,"64,65,06,613.80",68495
11-Feb-2022,EQ,"10.45","10.70","10.30","10.55","10.35","10.35","10.46","13.10","4.40",36340349,"38,01,92,660.40",42945
10-Feb-2022,EQ,"10.65","11.00","10.30","10.60","10.55","10.55","10.66","13.10","4.40",80919888,"86,23,95,710.65",54403
09-Feb-2022,EQ,"10.60","10.85","10.15","10.55","10.55","10.60","10.47","13.10","4.40",77452831,"81,12,47,836.20",54622
08-Feb-2022,EQ,"11.10","11.15","10.55","11.10","10.55","10.55","10.63","13.10","4.40",120624897,"1,28,27,19,466.30",92956
07-Feb-2022,EQ,"11.65","11.80","11.05","11.60","11.10","11.10","11.23","13.10","4.40",82922151,"93,12,47,629.50",81767
04-Feb-2022,EQ,"11.85","11.95","11.55","11.80","11.60","11.60","11.74","13.10","4.40",36160244,"42,43,70,932.15",56233
03-Feb-2022,EQ,"11.75","12.15","11.50","11.90","11.80","11.80","11.86","13.10","4.40",52852279,"62,66,43,355.00",75893
02-Feb-2022,EQ,"12.50","12.50","11.80","12.30","11.90","11.90","12.02","13.10","4.40",67243369,"80,85,18,216.10",85045
01-Feb-2022,EQ,"12.50","12.50","11.55","11.95","12.30","12.30","12.29","13.10","4.40",231095807,"2,84,01,40,117.70",154494
31-Jan-2022,EQ,"11.95","11.95","11.95","11.40","11.95","11.95","11.95","13.10","4.40",16066541,"19,19,95,164.95",13872
28-Jan-2022,EQ,"11.95","12.05","11.35","11.55","11.45","11.40","11.59","13.10","4.40",86149828,"99,83,37,951.65",78727
27-Jan-2022,EQ,"10.85","11.55","10.70","11.00","11.55","11.55","11.44","13.10","4.40",91947918,"1,05,20,30,889.30",59728
25-Jan-2022,EQ,"10.65","11.15","10.55","11.10","11.00","11.00","10.77","13.10","4.40",146562574,"1,57,83,67,786.25",107270
24-Jan-2022,EQ,"11.75","12.10","11.10","11.65","11.10","11.10","11.25","13.10","4.40",76853899,"86,45,30,873.05",66334
21-Jan-2022,EQ,"12.30","12.60","11.55","12.15","11.70","11.65","11.99","13.10","4.40",125154259,"1,50,08,62,589.05",113550
20-Jan-2022,EQ,"11.45","12.15","11.40","11.60","12.15","12.15","12.11","13.10","4.40",109449158,"1,32,51,70,801.85",65272
19-Jan-2022,EQ,"11.85","11.95","11.60","12.20","11.60","11.60","11.68","13.10","4.40",111713148,"1,30,47,26,923.95",83834
18-Jan-2022,EQ,"12.80","13.10","12.20","12.80","12.20","12.20","12.50","13.10","4.40",170355227,"2,12,95,66,075.95",174443
17-Jan-2022,EQ,"12.45","12.80","12.40","12.20","12.80","12.80","12.70","12.80","4.40",49242768,"62,53,48,199.75",42654
14-Jan-2022,EQ,"11.50","12.20","11.25","11.65","12.20","12.20","12.03","12.25","4.40",138039334,"1,66,07,97,395.65",81762
13-Jan-2022,EQ,"12.25","12.25","11.65","12.25","11.65","11.65","11.77","12.25","4.40",244718188,"2,88,13,28,432.45",152410
12-Jan-2022,EQ,"12.00","12.25","11.35","11.70","12.25","12.25","11.96","12.25","4.40",359597336,"4,30,09,94,056.00",246277
11-Jan-2022,EQ,"11.70","11.70","10.80","11.15","11.70","11.70","11.57","11.70","4.40",254753919,"2,94,72,41,304.35",181955
10-Jan-2022,EQ,"11.15","11.15","11.15","10.65","11.15","11.15","11.15","11.20","4.40",8823599,"9,83,83,128.85",8025
07-Jan-2022,EQ,"10.65","10.65","10.45","10.15","10.65","10.65","10.64","11.20","4.40",111832189,"1,18,94,01,039.30",57255
06-Jan-2022,EQ,"9.40","10.15","9.30","9.70","10.15","10.15","9.68","11.20","4.40",119655199,"1,15,85,97,430.90",58238
05-Jan-2022,EQ,"9.90","9.95","9.70","10.20","9.70","9.70","9.73","11.20","4.40",49630125,"48,30,41,828.20",59717
04-Jan-2022,EQ,"10.90","11.20","10.20","10.70","10.20","10.20","10.58","11.20","4.40",285651349,"3,02,21,15,664.30",224793
03-Jan-2022,EQ,"10.70","10.70","10.50","10.20","10.70","10.70","10.69","10.70","4.40",37827124,"40,41,91,302.45",25669
31-Dec-2021,EQ,"10.05","10.20","9.90","9.75","10.20","10.20","10.15","10.20","4.40",45312941,"46,00,99,183.40",35456
30-Dec-2021,EQ,"9.65","9.75","9.55","9.30","9.75","9.75","9.74","9.75","4.40",65608733,"63,87,86,829.60",29869
29-Dec-2021,EQ,"9.30","9.30","8.80","8.90","9.30","9.30","9.18","9.45","4.40",237558976,"2,18,05,59,856.90",105612
28-Dec-2021,EQ,"8.90","8.90","8.90","8.50","8.90","8.90","8.90","9.45","4.40",4939710,"4,39,63,419.00",4822
27-Dec-2021,EQ,"8.40","8.50","8.30","8.10","8.50","8.50","8.46","9.45","4.40",27786223,"23,50,37,385.45",16079
24-Dec-2021,EQ,"7.85","8.10","7.45","7.75","8.10","8.10","7.85","9.45","4.40",76693591,"60,22,18,457.70",50238
23-Dec-2021,EQ,"8.15","8.15","7.70","7.80","7.75","7.75","7.89","9.45","4.40",142814213,"1,12,73,98,428.95",82837
22-Dec-2021,EQ,"7.80","7.80","7.80","7.45","7.80","7.80","7.80","9.45","4.40",7762150,"6,05,44,770.00",6044
21-Dec-2021,EQ,"7.30","7.45","7.30","7.10","7.45","7.45","7.44","9.45","4.40",37274894,"27,71,74,387.60",19553
20-Dec-2021,EQ,"6.80","7.10","6.60","6.80","7.10","7.10","6.96","9.45","4.40",50166975,"34,92,28,025.90",52827
17-Dec-2021,EQ,"7.10","7.10","6.70","7.05","6.85","6.80","6.82","9.45","4.40",47714038,"32,54,17,178.30",66950
16-Dec-2021,EQ,"7.30","7.35","6.95","7.30","7.05","7.05","7.02","9.45","4.40",85938379,"60,29,90,158.40",63660
15-Dec-2021,EQ,"7.25","7.45","7.20","7.30","7.25","7.30","7.31","9.45","4.40",36116121,"26,41,54,893.60",53436
14-Dec-2021,EQ,"7.45","7.55","7.20","7.50","7.30","7.30","7.34","9.45","4.40",50775292,"37,27,37,327.60",51652
13-Dec-2021,EQ,"7.90","8.00","7.50","7.85","7.55","7.50","7.66","9.45","4.40",77112976,"59,06,71,549.55",76588
10-Dec-2021,EQ,"7.70","7.85","7.65","7.50","7.80","7.85","7.81","9.45","4.40",119073478,"92,93,94,483.20",80098
09-Dec-2021,EQ,"7.20","7.50","7.10","7.15","7.50","7.50","7.35","9.45","4.40",102797428,"75,53,04,805.95",47083
08-Dec-2021,EQ,"7.05","7.35","7.05","7.00","7.20","7.15","7.23","9.45","4.40",49781867,"35,99,25,452.45",48438
07-Dec-2021,EQ,"7.05","7.15","7.00","7.00","7.05","7.00","7.07","9.45","4.40",28237672,"19,96,11,934.10",41728
06-Dec-2021,EQ,"7.00","7.20","6.95","7.00","7.05","7.00","7.05","9.45","4.40",42431828,"29,92,33,515.50",40660
03-Dec-2021,EQ,"7.05","7.10","6.95","7.05","7.05","7.00","7.02","9.45","4.40",17162856,"12,05,27,181.90",33716
02-Dec-2021,EQ,"7.40","7.40","7.00","7.15","7.05","7.05","7.17","9.45","4.40",55157601,"39,54,42,932.85",50464
01-Dec-2021,EQ,"7.00","7.15","6.90","6.85","7.15","7.15","7.06","9.45","4.40",42323739,"29,89,17,404.05",42128
30-Nov-2021,EQ,"6.65","6.90","6.60","6.60","6.90","6.85","6.85","9.45","4.40",110048148,"75,38,30,406.05",48213
29-Nov-2021,EQ,"6.85","6.90","6.55","6.85","6.60","6.60","6.65","9.45","4.40",24158441,"16,06,95,423.35",73991
26-Nov-2021,EQ,"7.05","7.05","6.80","7.05","6.90","6.85","6.93","9.45","4.40",27534845,"19,08,40,172.40",58169
25-Nov-2021,EQ,"7.00","7.10","6.95","6.95","7.10","7.05","7.02","9.45","4.40",20552052,"14,42,93,333.60",29529
24-Nov-2021,EQ,"6.95","7.10","6.85","6.90","7.00","6.95","7.01","9.45","4.40",28226344,"19,78,71,392.05",40410
23-Nov-2021,EQ,"6.85","6.95","6.75","6.85","6.90","6.90","6.87","9.45","4.40",18515651,"12,72,24,263.70",36862
22-Nov-2021,EQ,"7.00","7.05","6.80","6.90","6.85","6.85","6.90","9.45","4.40",24003175,"16,55,82,867.50",41217
18-Nov-2021,EQ,"7.00","7.15","6.80","6.95","6.90","6.90","6.94","9.45","4.40",25742984,"17,87,63,514.60",34940
17-Nov-2021,EQ,"6.95","7.05","6.95","7.00","7.00","6.95","6.99","9.45","4.40",20599142,"14,40,60,085.30",44776
16-Nov-2021,EQ,"7.00","7.25","6.90","6.95","6.95","7.00","7.10","9.45","4.40",60243878,"42,79,68,540.00",40376
15-Nov-2021,EQ,"7.20","7.20","6.90","7.10","7.00","6.95","7.00","9.45","4.40",21136719,"14,78,53,427.00",36158
12-Nov-2021,EQ,"7.10","7.30","7.05","7.10","7.15","7.10","7.17","9.45","2.90",28835161,"20,66,62,819.10",31186
11-Nov-2021,EQ,"7.05","7.10","7.00","7.00","7.10","7.10","7.05","9.45","2.90",14038609,"9,89,31,032.00",39684
10-Nov-2021,EQ,"7.10","7.10","6.95","7.10","7.05","7.00","7.03","9.45","2.90",18060521,"12,70,34,767.50",40308
09-Nov-2021,EQ,"7.25","7.25","7.05","7.20","7.15","7.10","7.13","9.45","2.90",16348919,"11,64,86,346.10",34875
08-Nov-2021,EQ,"7.15","7.40","7.10","7.10","7.20","7.20","7.25","9.45","2.90",26799579,"19,43,27,821.95",50590
04-Nov-2021,EQ,"7.05","7.15","7.00","6.95","7.10","7.10","7.10","9.45","2.90",7823115,"5,55,65,048.45",13130
03-Nov-2021,EQ,"7.05","7.15","6.95","7.00","7.00","6.95","7.02","9.45","2.90",11936211,"8,37,95,520.10",24299
02-Nov-2021,EQ,"7.00","7.15","6.90","7.05","7.00","7.00","7.02","9.45","2.90",18548241,"13,01,23,723.15",30608
01-Nov-2021,EQ,"6.90","7.05","6.85","6.75","7.05","7.05","7.00","9.45","2.90",15605951,"10,91,88,616.90",32002
29-Oct-2021,EQ,"6.80","6.85","6.55","6.75","6.80","6.75","6.73","9.45","2.90",17282985,"11,62,97,173.70",35113
28-Oct-2021,EQ,"7.00","7.00","6.70","6.95","6.80","6.75","6.78","9.45","2.90",22688609,"15,37,66,022.30",30779
27-Oct-2021,EQ,"7.10","7.10","6.95","7.05","7.00","6.95","7.00","9.45","2.90",10577478,"7,40,73,956.40",30686
26-Oct-2021,EQ,"6.95","7.15","6.90","6.90","7.05","7.05","7.04","9.45","2.90",16596032,"11,67,54,203.45",32114
25-Oct-2021,EQ,"7.10","7.15","6.70","7.05","6.95","6.90","6.88","9.45","2.90",20330775,"13,99,46,846.35",33720
22-Oct-2021,EQ,"7.20","7.25","7.00","7.10","7.05","7.05","7.10","9.45","2.80",16572669,"11,77,42,440.25",30095
21-Oct-2021,EQ,"7.10","7.25","7.00","7.00","7.25","7.10","7.06","9.45","2.80",20587618,"14,54,18,357.15",37046
20-Oct-2021,EQ,"7.15","7.20","6.85","7.15","7.05","7.00","7.03","9.45","2.80",26400729,"18,55,09,087.95",34900
19-Oct-2021,EQ,"7.60","7.60","7.10","7.40","7.15","7.15","7.34","9.45","2.80",40116385,"29,43,15,976.20",50395
18-Oct-2021,EQ,"7.15","7.40","7.10","7.05","7.40","7.40","7.35","9.45","2.80",66134870,"48,59,60,245.70",51095
14-Oct-2021,EQ,"7.15","7.25","7.00","7.10","7.05","7.05","7.11","9.45","2.70",43790636,"31,14,25,859.50",46259
13-Oct-2021,EQ,"7.40","7.50","7.00","7.35","7.10","7.10","7.27","9.45","2.70",47880156,"34,82,69,739.55",44817
12-Oct-2021,EQ,"7.90","7.95","7.30","7.65","7.35","7.35","7.58","9.45","2.70",108287093,"82,04,22,929.75",61541
11-Oct-2021,EQ,"7.45","7.65","7.45","7.30","7.65","7.65","7.63","9.45","2.70",86906474,"66,28,33,592.85",32359
08-Oct-2021,EQ,"7.20","7.35","7.15","7.10","7.35","7.30","7.25","9.45","2.70",41430182,"30,04,98,465.10",44671
